Orders export - internal use
Generated 2024-12-31 by the shop system
order_id,customer_id,order_date,amount,status
1001,10,24/05/2024,"€909.17",paid
1002,4,02/11/2024,"€2,254.23",paid
1003,8,13/04/2024,"€1,368.53",paid
1004,12,2024-04-14,"€713.12",refunded
1005,2,20/03/2024,"€1,551.28",paid
1006,1,07/01/2024,"€1,938.51",paid
1007,5,2024-06-07,"€1,357.27",paid
1008,12,2024-04-13,"€761.00",paid
1009,3,2024-03-09,"€181.55",paid
1010,10,2024-11-23,"€857.98",paid
1011,5,23/08/2024,"€803.17",refunded
1012,12,02/03/2024,"€655.33",paid
1013,7,18/01/2024,"€1,973.59",paid
1014,10,2024-01-15,"€135.88",paid
1015,2,2024-04-27,"€2,356.27",paid
1016,9,25/05/2024,"€1,167.87",paid
1017,1,2024-07-03,"€537.04",paid
1018,6,2024-05-23,"€1,371.96",paid
1019,5,2024-03-26,"€213.93",paid
1020,8,24/03/2024,"€140.41",refunded
1021,4,20/12/2024,"€872.71",paid
1022,11,2024-07-05,"€158.15",paid
1023,6,2024-04-05,"-",paid
1024,2,2024-03-14,"€945.03",paid
1025,5,2024-03-15,"€2,306.57",paid
1026,8,2024-12-24,"€807.90",paid
1027,8,05/07/2024,"€299.15",paid
1028,6,2024-03-03,"€1,239.82",paid
1029,6,19/12/2024,"n/a",paid
1030,9,22/12/2024,"n/a",refunded
1031,12,10/12/2024,"€2,393.08",paid
1032,10,2024-01-16,"€1,376.54",paid
1033,11,2024-05-15,"€736.29",paid
1034,5,2024-11-12,"n/a",refunded
1035,3,2024-12-15,"€2,440.78",paid
1036,9,2024-03-07,"€2,094.82",refunded
1037,12,24/02/2024,"€1,683.73",refunded
1038,10,2024-10-17,"€1,670.58",refunded
1039,10,2024-09-25,"€2,170.48",paid
1040,4,2024-03-19,"€1,113.85",paid
1041,11,21/03/2024,"€1,801.79",refunded
1042,3,2024-01-05,"€294.86",paid
1043,4,2024-09-02,"€1,050.41",paid
1044,11,03/10/2024,"€1,483.61",paid
1045,1,2024-06-13,"€2,381.22",refunded
1046,12,2024-09-12,"€2,411.64",paid
1047,5,2024-09-17,"€861.65",paid
1048,3,2024-07-14,"€2,036.21",paid
1049,3,20/03/2024,"€969.21",refunded
1050,3,2024-10-03,"n/a",paid
1051,2,19/06/2024,"€2,292.86",paid
1052,11,2024-10-13,"€1,084.42",paid
1053,5,2024-08-23,"€961.86",paid
1054,12,2024-05-16,"€642.65",paid
1055,5,2024-08-10,"€375.36",paid
1056,11,2024-10-15,"€628.84",paid
1057,7,16/01/2024,"€1,340.76",paid
1058,8,08/01/2024,"€1,235.49",paid
1059,5,20/08/2024,"€2,481.36",paid
1060,3,2024-05-10,"€1,343.07",paid
